genome_accession	accession_no_version	assembly_version	accession_source_line	all_record_count	all_unique_locus_count	all_valid_coordinate_locus_count	all_hit_scaffold_count	all_total_bp_1based_closed	all_total_bp_end_minus_begin	transposable_flag_positive_record_count	transposable_flag_positive_unique_locus_count	transposable_flag_positive_valid_coordinate_locus_count	transposable_flag_positive_hit_scaffold_count	transposable_flag_positive_total_bp_1based_closed	transposable_flag_positive_total_bp_end_minus_begin	taxonomy_assigned_record_count	taxonomy_assigned_unique_locus_count	taxonomy_assigned_valid_coordinate_locus_count	taxonomy_assigned_hit_scaffold_count	taxonomy_assigned_total_bp_1based_closed	taxonomy_assigned_total_bp_end_minus_begin
GCF_900196445.1	GCF_900196445	1	24245	13	13	13	13	257138	257125	0	0	0	0	0	0	13	13	13	13	257138	257125
GCF_900196455.1	GCF_900196455	1	24246	4	4	4	4	111603	111599	0	0	0	0	0	0	4	4	4	4	111603	111599
GCF_900196465.1	GCF_900196465	1	24247	3	3	3	3	77782	77779	0	0	0	0	0	0	3	3	3	3	77782	77779
GCF_900196475.1	GCF_900196475	1	24248	8	8	8	7	152194	152186	0	0	0	0	0	0	7	7	7	6	142384	142377
GCF_900196485.1	GCF_900196485	1	24249	8	8	8	8	111706	111698	0	0	0	0	0	0	7	7	7	7	108102	108095
GCF_900196495.1	GCF_900196495	1	24250	8	8	8	7	150469	150461	0	0	0	0	0	0	8	8	8	7	150469	150461
GCF_900196505.1	GCF_900196505	1	24251	4	4	4	4	138930	138926	1	1	1	1	34149	34148	4	4	4	4	138930	138926
GCF_900196515.1	GCF_900196515	1	24252	3	3	3	2	65176	65173	0	0	0	0	0	0	3	3	3	2	65176	65173
GCF_900196525.1	GCF_900196525	1	24253	4	4	4	4	88094	88090	0	0	0	0	0	0	3	3	3	3	86175	86172
GCF_900196535.2	GCF_900196535	2	24254	7	7	7	1	230451	230444	2	2	2	1	63725	63723	6	6	6	1	221073	221067
GCF_900196545.1	GCF_900196545	1	24255	6	6	6	6	109347	109341	0	0	0	0	0	0	4	4	4	4	95296	95292
GCF_900196555.1	GCF_900196555	1	24256	8	8	8	7	137821	137813	0	0	0	0	0	0	6	6	6	6	132202	132196
GCF_900196565.1	GCF_900196565	1	24257	1	1	1	1	12995	12994	0	0	0	0	0	0	1	1	1	1	12995	12994
GCF_900196575.1	GCF_900196575	1	24258	1	1	1	1	11927	11926	0	0	0	0	0	0	1	1	1	1	11927	11926
GCF_900196585.1	GCF_900196585	1	24259	2	2	2	2	47460	47458	0	0	0	0	0	0	1	1	1	1	38375	38374
GCF_900196595.1	GCF_900196595	1	24260	2	2	2	2	82293	82291	0	0	0	0	0	0	2	2	2	2	82293	82291
GCF_900196605.1	GCF_900196605	1	24261	6	6	6	6	124356	124350	1	1	1	1	19698	19697	5	5	5	5	121798	121793
GCF_900196615.1	GCF_900196615	1	24262	3	3	3	3	65732	65729	0	0	0	0	0	0	2	2	2	2	47541	47539
GCF_900196635.1	GCF_900196635	1	24263	2	2	2	1	34183	34181	0	0	0	0	0	0	2	2	2	1	34183	34181
GCF_900196645.1	GCF_900196645	1	24264	5	5	5	5	112827	112822	1	1	1	1	19494	19493	4	4	4	4	110269	110265
GCF_900196655.1	GCF_900196655	1	24265	3	3	3	3	70763	70760	0	0	0	0	0	0	3	3	3	3	70763	70760
GCF_900196665.1	GCF_900196665	1	24266	4	4	4	4	60905	60901	0	0	0	0	0	0	2	2	2	2	38961	38959
GCF_900196675.1	GCF_900196675	1	24267	6	6	6	6	94278	94272	0	0	0	0	0	0	6	6	6	6	94278	94272
GCF_900196685.1	GCF_900196685	1	24268	6	6	6	6	133521	133515	0	0	0	0	0	0	6	6	6	6	133521	133515
GCF_900196695.1	GCF_900196695	1	24269	7	7	7	6	120166	120159	0	0	0	0	0	0	6	6	6	5	118019	118013
GCF_900196705.1	GCF_900196705	1	24270	4	4	4	4	79314	79310	0	0	0	0	0	0	2	2	2	2	47541	47539
GCF_900196715.1	GCF_900196715	1	24271	5	5	5	5	104757	104752	0	0	0	0	0	0	3	3	3	3	70484	70481
GCF_900199255.1	GCF_900199255	1	24272	2	2	2	2	39250	39248	1	1	1	1	30104	30103	2	2	2	2	39250	39248
GCF_900199625.1	GCF_900199625	1	24273	2	2	2	2	66844	66842	0	0	0	0	0	0	2	2	2	2	66844	66842
GCF_900236035.1	GCF_900236035	1	24274	4	4	4	4	101416	101412	0	0	0	0	0	0	4	4	4	4	101416	101412
GCF_900236045.1	GCF_900236045	1	24275	3	3	3	3	110551	110548	1	1	1	1	44205	44204	3	3	3	3	110551	110548
GCF_900236055.1	GCF_900236055	1	24276	9	9	9	8	159175	159166	1	1	1	1	13436	13435	7	7	7	6	110278	110271
GCF_900236065.1	GCF_900236065	1	24277	7	7	7	3	116951	116944	0	0	0	0	0	0	7	7	7	3	116951	116944
GCF_900236075.1	GCF_900236075	1	24278	2	2	2	2	69767	69765	0	0	0	0	0	0	2	2	2	2	69767	69765
GCF_900236085.1	GCF_900236085	1	24279	2	2	2	2	58651	58649	0	0	0	0	0	0	2	2	2	2	58651	58649
GCF_900236095.1	GCF_900236095	1	24280	1	1	1	1	44191	44190	0	0	0	0	0	0	1	1	1	1	44191	44190
GCF_900236105.1	GCF_900236105	1	24281	2	2	2	2	69451	69449	0	0	0	0	0	0	2	2	2	2	69451	69449
GCF_900236115.1	GCF_900236115	1	24282	1	1	1	1	21645	21644	0	0	0	0	0	0	1	1	1	1	21645	21644
GCF_900236125.1	GCF_900236125	1	24283	2	2	2	2	16638	16636	0	0	0	0	0	0	1	1	1	1	7739	7738
GCF_900236135.1	GCF_900236135	1	24284	3	3	3	2	77510	77507	0	0	0	0	0	0	2	2	2	2	68611	68609
GCF_900236145.1	GCF_900236145	1	24285	3	3	3	3	46545	46542	0	0	0	0	0	0	3	3	3	3	46545	46542
GCF_900236155.1	GCF_900236155	1	24286	4	4	4	3	77474	77470	0	0	0	0	0	0	3	3	3	3	68575	68572
GCF_900236165.1	GCF_900236165	1	24287	4	4	4	3	55192	55188	0	0	0	0	0	0	3	3	3	3	46293	46290
GCF_900239805.1	GCF_900239805	1	24288	9	9	9	7	155002	154993	0	0	0	0	0	0	7	7	7	6	130164	130157
GCF_900239825.1	GCF_900239825	1	24289	6	6	6	5	144186	144180	0	0	0	0	0	0	6	6	6	5	144186	144180
GCF_900239835.1	GCF_900239835	1	24290	3	3	3	3	60618	60615	1	1	1	1	12770	12769	2	2	2	2	47036	47034
GCF_900239845.1	GCF_900239845	1	24291	3	3	3	3	29396	29393	0	0	0	0	0	0	1	1	1	1	11297	11296
GCF_900239855.1	GCF_900239855	1	24292	3	3	3	3	61002	60999	0	0	0	0	0	0	3	3	3	3	61002	60999
GCF_900239865.1	GCF_900239865	1	24293	4	4	4	3	90406	90402	0	0	0	0	0	0	4	4	4	3	90406	90402
GCF_900239875.1	GCF_900239875	1	24294	5	5	5	4	124517	124512	0	0	0	0	0	0	5	5	5	4	124517	124512
GCF_900239885.1	GCF_900239885	1	24295	10	10	10	7	205281	205271	0	0	0	0	0	0	9	9	9	7	195763	195754
GCF_900239895.1	GCF_900239895	1	24296	5	5	5	4	114776	114771	0	0	0	0	0	0	5	5	5	4	114776	114771
GCF_900239905.1	GCF_900239905	1	24297	8	8	8	6	158011	158003	0	0	0	0	0	0	7	7	7	6	148493	148486
GCF_900239925.1	GCF_900239925	1	24298	2	2	2	2	37352	37350	1	1	1	1	6445	6444	1	1	1	1	30907	30906
GCF_900244885.2	GCF_900244885	2	24299	4	4	4	4	90682	90678	0	0	0	0	0	0	3	3	3	3	82360	82357
GCF_900290395.1	GCF_900290395	1	24300	3	3	3	3	28922	28919	0	0	0	0	0	0	2	2	2	2	23545	23543
GCF_900382715.1	GCF_900382715	1	24301	5	5	5	1	222855	222850	0	0	0	0	0	0	5	5	5	1	222855	222850
GCF_900382735.1	GCF_900382735	1	24302	5	5	5	1	208224	208219	0	0	0	0	0	0	5	5	5	1	208224	208219
GCF_900406575.1	GCF_900406575	1	24303	1	1	1	1	14909	14908	0	0	0	0	0	0	1	1	1	1	14909	14908
GCF_900406585.1	GCF_900406585	1	24304	6	6	6	6	117781	117775	0	0	0	0	0	0	6	6	6	6	117781	117775
GCF_900406595.1	GCF_900406595	1	24305	4	4	4	4	188497	188493	0	0	0	0	0	0	4	4	4	4	188497	188493
GCF_900406605.1	GCF_900406605	1	24306	5	5	5	5	80440	80435	0	0	0	0	0	0	5	5	5	5	80440	80435
GCF_900406615.1	GCF_900406615	1	24307	7	7	7	6	159478	159471	0	0	0	0	0	0	5	5	5	4	140962	140957
GCF_900406625.1	GCF_900406625	1	24308	4	4	4	4	71012	71008	0	0	0	0	0	0	4	4	4	4	71012	71008
GCF_900406635.1	GCF_900406635	1	24309	1	1	1	1	37728	37727	0	0	0	0	0	0	1	1	1	1	37728	37727
GCF_900447915.1	GCF_900447915	1	24310	8	8	8	1	330013	330005	2	2	2	1	107432	107430	8	8	8	1	330013	330005
GCF_900447975.1	GCF_900447975	1	24311	9	9	9	2	217482	217473	4	4	4	2	129981	129977	6	6	6	1	197946	197940
GCF_900448005.1	GCF_900448005	1	24312	7	7	7	2	217545	217538	4	4	4	2	137273	137269	5	5	5	1	203646	203641
GCF_900448065.1	GCF_900448065	1	24313	4	4	4	1	69695	69691	1	1	1	1	10140	10139	4	4	4	1	69695	69691
GCF_900448075.1	GCF_900448075	1	24314	5	5	5	1	102724	102719	2	2	2	1	31434	31432	2	2	2	1	48772	48770
GCF_900448115.1	GCF_900448115	1	24315	16	16	16	3	474416	474400	8	8	8	2	295179	295171	14	14	14	3	464117	464103
GCF_900448135.1	GCF_900448135	1	24316	9	9	9	2	346745	346736	1	1	1	1	42882	42881	9	9	9	2	346745	346736
GCF_900448175.1	GCF_900448175	1	24317	8	8	8	1	225193	225185	4	4	4	1	114646	114642	5	5	5	1	192907	192902
GCF_900448215.1	GCF_900448215	1	24318	20	20	20	5	554999	554979	4	4	4	3	124762	124758	17	17	17	4	538220	538203
GCF_900448225.1	GCF_900448225	1	24319	4	4	4	4	148575	148571	0	0	0	0	0	0	4	4	4	4	148575	148571
GCF_900448245.1	GCF_900448245	1	24320	3	3	3	2	88302	88299	1	1	1	1	9702	9701	3	3	3	2	88302	88299
GCF_900448265.1	GCF_900448265	1	24321	13	13	13	2	475648	475635	1	1	1	1	20775	20774	13	13	13	2	475648	475635
GCF_900448275.1	GCF_900448275	1	24322	18	18	18	5	475573	475555	2	2	2	2	72698	72696	16	16	16	5	465992	465976
GCF_900448325.1	GCF_900448325	1	24323	6	6	6	4	195051	195045	0	0	0	0	0	0	6	6	6	4	195051	195045
GCF_900448335.1	GCF_900448335	1	24324	4	4	4	2	154438	154434	1	1	1	1	51545	51544	4	4	4	2	154438	154434
GCF_900448395.1	GCF_900448395	1	24325	13	13	13	5	517361	517348	2	2	2	2	122301	122299	13	13	13	5	517361	517348
GCF_900448405.1	GCF_900448405	1	24326	9	9	9	1	277057	277048	3	3	3	1	70360	70357	8	8	8	1	262178	262170
GCF_900448415.1	GCF_900448415	1	24327	8	8	8	2	172471	172463	1	1	1	1	19105	19104	6	6	6	2	148922	148916
GCF_900448425.1	GCF_900448425	1	24328	4	4	4	2	198713	198709	1	1	1	1	102803	102802	4	4	4	2	198713	198709
GCF_900448435.1	GCF_900448435	1	24329	6	6	6	2	168832	168826	4	4	4	2	115598	115594	6	6	6	2	168832	168826
GCF_900448455.1	GCF_900448455	1	24330	12	12	12	2	355487	355475	3	3	3	2	84644	84641	9	9	9	1	311438	311429
GCF_900448475.1	GCF_900448475	1	24331	6	6	6	1	240985	240979	0	0	0	0	0	0	6	6	6	1	240985	240979
GCF_900448485.1	GCF_900448485	1	24332	5	5	5	1	70453	70448	2	2	2	1	33406	33404	3	3	3	1	44943	44940
GCF_900448495.1	GCF_900448495	1	24333	6	6	6	1	98956	98950	2	2	2	1	25199	25197	4	4	4	1	85940	85936
GCF_900448515.1	GCF_900448515	1	24334	7	7	7	2	249918	249911	2	2	2	1	75895	75893	6	6	6	1	244263	244257
GCF_900448535.1	GCF_900448535	1	24335	6	6	6	2	208010	208004	2	2	2	1	84187	84185	6	6	6	2	208010	208004
GCF_900448555.1	GCF_900448555	1	24336	4	4	4	1	159432	159428	0	0	0	0	0	0	4	4	4	1	159432	159428
GCF_900448565.1	GCF_900448565	1	24337	3	3	3	1	115414	115411	1	1	1	1	45853	45852	3	3	3	1	115414	115411
GCF_900448665.1	GCF_900448665	1	24338	4	4	4	1	159825	159821	1	1	1	1	40055	40054	4	4	4	1	159825	159821
GCF_900448675.1	GCF_900448675	1	24339	7	7	7	1	119936	119929	0	0	0	0	0	0	6	6	6	1	99711	99705
GCF_900448695.1	GCF_900448695	1	24340	12	12	12	1	406687	406675	2	2	2	1	52328	52326	11	11	11	1	400203	400192
GCF_900448705.1	GCF_900448705	1	24341	5	5	5	2	162232	162227	0	0	0	0	0	0	5	5	5	2	162232	162227
GCF_900448715.1	GCF_900448715	1	24342	4	4	4	1	134565	134561	0	0	0	0	0	0	4	4	4	1	134565	134561
GCF_900448725.1	GCF_900448725	1	24343	4	4	4	1	163171	163167	0	0	0	0	0	0	4	4	4	1	163171	163167
GCF_900448735.1	GCF_900448735	1	24344	3	3	3	1	128794	128791	1	1	1	1	43722	43721	3	3	3	1	128794	128791
GCF_900448745.1	GCF_900448745	1	24345	3	3	3	1	126410	126407	2	2	2	1	77908	77906	3	3	3	1	126410	126407
GCF_900448755.1	GCF_900448755	1	24346	9	9	9	2	310071	310062	3	3	3	2	102290	102287	7	7	7	1	296462	296455
GCF_900448765.1	GCF_900448765	1	24347	5	5	5	2	190665	190660	0	0	0	0	0	0	5	5	5	2	190665	190660
GCF_900448795.1	GCF_900448795	1	24348	4	4	4	1	183217	183213	0	0	0	0	0	0	4	4	4	1	183217	183213
GCF_900448805.1	GCF_900448805	1	24349	7	7	7	2	203756	203749	3	3	3	1	74074	74071	6	6	6	2	199431	199425
GCF_900448815.1	GCF_900448815	1	24350	8	8	8	1	340579	340571	3	3	3	1	143628	143625	8	8	8	1	340579	340571
GCF_900448825.1	GCF_900448825	1	24351	5	5	5	1	213362	213357	1	1	1	1	37818	37817	5	5	5	1	213362	213357
GCF_900448835.1	GCF_900448835	1	24352	15	15	15	3	408435	408420	4	4	4	2	152569	152565	13	13	13	3	401101	401088
GCF_900448855.1	GCF_900448855	1	24353	6	6	6	1	82815	82809	2	2	2	1	28939	28937	2	2	2	1	34855	34853
GCF_900448875.1	GCF_900448875	1	24354	15	15	15	2	510256	510241	3	3	3	2	109067	109064	13	13	13	2	506248	506235
GCF_900448895.1	GCF_900448895	1	24355	7	7	7	3	226976	226969	1	1	1	1	5004	5003	6	6	6	2	221972	221966
GCF_900448915.1	GCF_900448915	1	24356	5	5	5	2	131102	131097	3	3	3	2	48418	48415	3	3	3	1	110091	110088
GCF_900448945.1	GCF_900448945	1	24357	1	1	1	1	29821	29820	0	0	0	0	0	0	1	1	1	1	29821	29820
GCF_900448965.1	GCF_900448965	1	24358	6	6	6	4	194298	194292	4	4	4	3	146041	146037	3	3	3	2	167988	167985
GCF_900448985.1	GCF_900448985	1	24359	13	13	13	3	405783	405770	3	3	3	1	61139	61136	12	12	12	3	394326	394314
GCF_900448995.1	GCF_900448995	1	24360	6	6	6	5	282410	282404	2	2	2	2	68746	68744	6	6	6	5	282410	282404
GCF_900449005.1	GCF_900449005	1	24361	4	4	4	1	111210	111206	1	1	1	1	39614	39613	4	4	4	1	111210	111206
GCF_900449035.1	GCF_900449035	1	24362	13	13	13	3	402666	402653	2	2	2	1	25234	25232	12	12	12	3	391793	391781
GCF_900449055.1	GCF_900449055	1	24363	7	7	7	2	276682	276675	1	1	1	1	54223	54222	7	7	7	2	276682	276675
GCF_900449065.1	GCF_900449065	1	24364	7	7	7	2	131148	131141	1	1	1	1	22530	22529	6	6	6	2	111932	111926
GCF_900449135.1	GCF_900449135	1	24365	5	5	5	1	118923	118918	1	1	1	1	23380	23379	4	4	4	1	113436	113432
GCF_900449155.1	GCF_900449155	1	24366	13	13	13	2	572963	572950	0	0	0	0	0	0	13	13	13	2	572963	572950
GCF_900449165.1	GCF_900449165	1	24367	13	13	13	5	354479	354466	7	7	7	5	204200	204193	12	12	12	5	345295	345283
GCF_900449175.1	GCF_900449175	1	24368	8	8	8	2	246481	246473	4	4	4	2	113291	113287	7	7	7	2	237140	237133
GCF_900449195.1	GCF_900449195	1	24369	14	14	14	2	502259	502245	0	0	0	0	0	0	13	13	13	2	499587	499574
GCF_900449205.1	GCF_900449205	1	24370	5	5	5	2	195622	195617	0	0	0	0	0	0	5	5	5	2	195622	195617
GCF_900449215.1	GCF_900449215	1	24371	6	6	6	2	107004	106998	1	1	1	1	13885	13884	4	4	4	2	88674	88670
GCF_900449225.1	GCF_900449225	1	24372	15	15	15	2	488086	488071	3	3	3	1	114958	114955	13	13	13	2	468371	468358
GCF_900449235.1	GCF_900449235	1	24373	10	10	10	3	335895	335885	1	1	1	1	60261	60260	10	10	10	3	335895	335885
GCF_900449245.1	GCF_900449245	1	24374	12	12	12	1	476488	476476	1	1	1	1	34834	34833	12	12	12	1	476488	476476
GCF_900449265.1	GCF_900449265	1	24375	6	6	6	1	212628	212622	1	1	1	1	43575	43574	6	6	6	1	212628	212622
GCF_900449305.1	GCF_900449305	1	24376	7	7	7	2	247995	247988	3	3	3	2	81528	81525	6	6	6	1	242340	242334
GCF_900449395.1	GCF_900449395	1	24377	10	10	10	4	371440	371430	1	1	1	1	10320	10319	8	8	8	3	355996	355988
GCF_900449425.1	GCF_900449425	1	24378	6	6	6	2	226365	226359	3	3	3	1	129759	129756	6	6	6	2	226365	226359
GCF_900449435.1	GCF_900449435	1	24379	9	9	9	2	291169	291160	3	3	3	2	99650	99647	8	8	8	1	276932	276924
GCF_900449445.1	GCF_900449445	1	24380	4	4	4	2	120958	120954	1	1	1	1	19683	19682	3	3	3	2	98251	98248
GCF_900449455.1	GCF_900449455	1	24381	12	12	12	3	377127	377115	4	4	4	2	124057	124053	11	11	11	3	366741	366730
GCF_900449475.1	GCF_900449475	1	24382	16	16	16	5	525417	525401	2	2	2	1	52260	52258	14	14	14	4	510019	510005
GCF_900449485.1	GCF_900449485	1	24383	14	14	14	3	531090	531076	3	3	3	1	130743	130740	13	13	13	2	527962	527949
GCF_900449495.1	GCF_900449495	1	24384	8	8	8	1	384202	384194	3	3	3	1	147121	147118	7	7	7	1	363408	363401
GCF_900449515.1	GCF_900449515	1	24385	9	9	9	1	339646	339637	0	0	0	0	0	0	9	9	9	1	339646	339637
GCF_900449525.1	GCF_900449525	1	24386	6	6	6	1	207474	207468	1	1	1	1	25554	25553	6	6	6	1	207474	207468
GCF_900449545.1	GCF_900449545	1	24387	6	6	6	1	202730	202724	1	1	1	1	36391	36390	6	6	6	1	202730	202724
GCF_900449565.1	GCF_900449565	1	24388	7	7	7	1	227443	227436	2	2	2	1	50020	50018	4	4	4	1	211709	211705
GCF_900449575.1	GCF_900449575	1	24389	3	3	3	1	137329	137326	2	2	2	1	93724	93722	3	3	3	1	137329	137326
GCF_900449585.1	GCF_900449585	1	24390	5	5	5	1	212431	212426	1	1	1	1	41756	41755	5	5	5	1	212431	212426
GCF_900449595.1	GCF_900449595	1	24391	8	8	8	1	313293	313285	1	1	1	1	52040	52039	8	8	8	1	313293	313285
GCF_900449635.1	GCF_900449635	1	24392	11	11	11	3	443816	443805	4	4	4	1	147902	147898	9	9	9	3	428979	428970
GCF_900449645.1	GCF_900449645	1	24393	5	5	5	1	170055	170050	2	2	2	1	78342	78340	5	5	5	1	170055	170050
GCF_900449655.1	GCF_900449655	1	24394	3	3	3	1	143575	143572	0	0	0	0	0	0	3	3	3	1	143575	143572
GCF_900449665.1	GCF_900449665	1	24395	7	7	7	1	228850	228843	0	0	0	0	0	0	6	6	6	1	210319	210313
GCF_900449685.1	GCF_900449685	1	24396	7	7	7	1	256856	256849	0	0	0	0	0	0	7	7	7	1	256856	256849
GCF_900449745.1	GCF_900449745	1	24397	11	11	11	1	525605	525594	0	0	0	0	0	0	11	11	11	1	525605	525594
GCF_900449755.1	GCF_900449755	1	24398	5	5	5	1	114692	114687	4	4	4	1	95811	95807	5	5	5	1	114692	114687
GCF_900449765.1	GCF_900449765	1	24399	9	9	9	1	297067	297058	1	1	1	1	47670	47669	9	9	9	1	297067	297058
GCF_900449785.1	GCF_900449785	1	24400	6	6	6	2	171289	171283	0	0	0	0	0	0	6	6	6	2	171289	171283
GCF_900449815.1	GCF_900449815	1	24401	9	9	9	1	100302	100293	2	2	2	1	25023	25021	5	5	5	1	69658	69653
GCF_900449835.1	GCF_900449835	1	24402	10	10	10	4	348184	348174	1	1	1	1	54003	54002	10	10	10	4	348184	348174
GCF_900449875.1	GCF_900449875	1	24403	7	7	7	2	265325	265318	2	2	2	1	76957	76955	7	7	7	2	265325	265318
GCF_900449885.1	GCF_900449885	1	24404	5	5	5	2	146123	146118	0	0	0	0	0	0	5	5	5	2	146123	146118
GCF_900449895.1	GCF_900449895	1	24405	8	8	8	2	265382	265374	0	0	0	0	0	0	8	8	8	2	265382	265374
GCF_900449905.1	GCF_900449905	1	24406	17	17	17	3	699046	699029	2	2	2	1	90350	90348	17	17	17	3	699046	699029
GCF_900449935.1	GCF_900449935	1	24407	7	7	7	1	119512	119505	1	1	1	1	17768	17767	5	5	5	1	97300	97295
GCF_900449945.1	GCF_900449945	1	24408	12	12	12	5	440050	440038	0	0	0	0	0	0	12	12	12	5	440050	440038
GCF_900449965.1	GCF_900449965	1	24409	5	5	5	2	105797	105792	3	3	3	2	53960	53957	3	3	3	2	76942	76939
GCF_900449975.1	GCF_900449975	1	24410	5	5	5	3	166879	166874	0	0	0	0	0	0	5	5	5	3	166879	166874
GCF_900449985.1	GCF_900449985	1	24411	8	8	8	3	215992	215984	1	1	1	1	12528	12527	7	7	7	2	203464	203457
GCF_900450005.1	GCF_900450005	1	24412	10	10	10	1	189414	189404	1	1	1	1	20849	20848	9	9	9	1	177240	177231
GCF_900450015.1	GCF_900450015	1	24413	14	14	14	1	414026	414012	5	5	5	1	108408	108403	11	11	11	1	390093	390082
GCF_900450055.1	GCF_900450055	1	24414	15	15	15	2	470052	470037	2	2	2	1	75693	75691	13	13	13	2	450337	450324
GCF_900450095.1	GCF_900450095	1	24415	15	15	15	4	507717	507702	3	3	3	1	143604	143601	13	13	13	3	486051	486038
GCF_900450115.1	GCF_900450115	1	24416	4	4	4	1	205500	205496	0	0	0	0	0	0	4	4	4	1	205500	205496
GCF_900450125.1	GCF_900450125	1	24417	6	6	6	2	213108	213102	1	1	1	1	26381	26380	4	4	4	2	185916	185912
GCF_900450135.1	GCF_900450135	1	24418	8	8	8	2	263228	263220	0	0	0	0	0	0	8	8	8	2	263228	263220
GCF_900450145.1	GCF_900450145	1	24419	5	5	5	1	210809	210804	0	0	0	0	0	0	5	5	5	1	210809	210804
GCF_900450155.1	GCF_900450155	1	24420	6	6	6	1	198388	198382	1	1	1	1	20369	20368	6	6	6	1	198388	198382
GCF_900450195.1	GCF_900450195	1	24421	13	13	13	4	514960	514947	1	1	1	1	49504	49503	13	13	13	4	514960	514947
GCF_900450205.1	GCF_900450205	1	24422	5	5	5	1	178234	178229	0	0	0	0	0	0	4	4	4	1	149226	149222
GCF_900450215.1	GCF_900450215	1	24423	6	6	6	2	144978	144972	0	0	0	0	0	0	5	5	5	2	137058	137053
GCF_900450255.1	GCF_900450255	1	24424	15	15	15	5	363296	363281	2	2	2	2	42346	42344	14	14	14	4	356551	356537
GCF_900450275.1	GCF_900450275	1	24425	12	12	12	9	333530	333518	2	2	2	1	87014	87012	12	12	12	9	333530	333518
GCF_900450305.1	GCF_900450305	1	24426	9	9	9	5	288442	288433	0	0	0	0	0	0	8	8	8	5	280191	280183
GCF_900450315.1	GCF_900450315	1	24427	8	8	8	1	236888	236880	0	0	0	0	0	0	7	7	7	1	220106	220099
GCF_900450325.1	GCF_900450325	1	24428	4	4	4	1	162022	162018	0	0	0	0	0	0	4	4	4	1	162022	162018
GCF_900450345.1	GCF_900450345	1	24429	7	7	7	3	259993	259986	1	1	1	1	34665	34664	7	7	7	3	259993	259986
GCF_900450375.1	GCF_900450375	1	24430	7	7	7	2	197966	197959	3	3	3	2	60064	60061	7	7	7	2	197966	197959
GCF_900450385.1	GCF_900450385	1	24431	9	9	9	3	235893	235884	4	4	4	2	129156	129152	5	5	5	2	200009	200004
GCF_900450395.1	GCF_900450395	1	24432	10	10	10	1	386023	386013	2	2	2	1	51371	51369	9	9	9	1	379823	379814
GCF_900450405.1	GCF_900450405	1	24433	11	11	11	1	208551	208540	3	3	3	1	66824	66821	10	10	10	1	203945	203935
GCF_900450415.1	GCF_900450415	1	24434	10	10	10	1	354245	354235	0	0	0	0	0	0	9	9	9	1	349805	349796
GCF_900450435.1	GCF_900450435	1	24435	8	8	8	1	284279	284271	1	1	1	1	42204	42203	7	7	7	1	281394	281387
GCF_900450445.1	GCF_900450445	1	24436	6	6	6	1	218003	217997	0	0	0	0	0	0	6	6	6	1	218003	217997
GCF_900450475.1	GCF_900450475	1	24437	12	12	12	4	379612	379600	1	1	1	1	46596	46595	10	10	10	4	362428	362418
GCF_900450495.1	GCF_900450495	1	24438	11	11	11	1	194558	194547	5	5	5	1	72734	72729	10	10	10	1	184068	184058
GCF_900450515.1	GCF_900450515	1	24439	11	11	11	1	354172	354161	2	2	2	1	50842	50840	10	10	10	1	345574	345564
GCF_900450535.1	GCF_900450535	1	24440	15	15	15	1	425815	425800	3	3	3	1	91694	91691	13	13	13	1	416234	416221
GCF_900450585.1	GCF_900450585	1	24441	4	4	4	2	161357	161353	0	0	0	0	0	0	3	3	3	1	145219	145216
GCF_900450605.1	GCF_900450605	1	24442	4	4	4	1	53656	53652	1	1	1	1	17653	17652	3	3	3	1	45334	45331
GCF_900465555.1	GCF_900465555	1	24443	4	4	4	4	143565	143561	0	0	0	0	0	0	4	4	4	4	143565	143561
GCF_900474445.1	GCF_900474445	1	24444	5	5	5	1	137797	137792	3	3	3	1	90082	90079	5	5	5	1	137797	137792
GCF_900474495.1	GCF_900474495	1	24445	4	4	4	1	85374	85370	2	2	2	1	38945	38943	3	3	3	1	80969	80966
GCF_900474625.1	GCF_900474625	1	24446	2	2	2	1	51452	51450	1	1	1	1	20202	20201	2	2	2	1	51452	51450
GCF_900478335.1	GCF_900478335	1	24447	9	9	9	8	345336	345327	1	1	1	1	28213	28212	9	9	9	8	345336	345327
GCF_900478355.1	GCF_900478355	1	24448	7	7	7	5	208405	208398	0	0	0	0	0	0	6	6	6	4	202555	202549
GCF_900478365.1	GCF_900478365	1	24449	2	2	2	1	83277	83275	0	0	0	0	0	0	2	2	2	1	83277	83275
GCF_900478445.1	GCF_900478445	1	24450	7	7	7	5	237470	237463	2	2	2	2	76826	76824	6	6	6	5	229074	229068
GCF_900478455.1	GCF_900478455	1	24451	6	6	6	4	181753	181747	2	2	2	2	84520	84518	5	5	5	4	173357	173352
GCF_900478465.1	GCF_900478465	1	24452	11	11	11	11	216452	216441	0	0	0	0	0	0	8	8	8	8	184937	184929
GCF_900478475.1	GCF_900478475	1	24453	9	9	9	9	207012	207003	1	1	1	1	28448	28447	7	7	7	7	168580	168573
GCF_900478485.1	GCF_900478485	1	24454	4	4	4	4	142307	142303	0	0	0	0	0	0	4	4	4	4	142307	142303
GCF_900478495.1	GCF_900478495	1	24455	8	8	8	7	308619	308611	0	0	0	0	0	0	8	8	8	7	308619	308611
GCF_900478505.1	GCF_900478505	1	24456	6	6	6	6	213733	213727	2	2	2	2	84205	84203	5	5	5	5	204496	204491
GCF_900478515.1	GCF_900478515	1	24457	9	9	9	8	180486	180477	0	0	0	0	0	0	8	8	8	8	173015	173007
