sequence,cluster,genome
GCF_017165135.1_prophage_14,2,GCF_017165135.1
GCF_017165155.1_prophage_8,2,GCF_017165155.1
GCF_017165255.1_prophage_4,1,GCF_017165255.1
GCF_017165275.1_prophage_13,1,GCF_017165275.1
GCF_017165335.1_prophage_12,2,GCF_017165335.1
GCF_017165335.1_prophage_8,2,GCF_017165335.1
GCF_017165375.1_prophage_3,2,GCF_017165375.1
GCF_017165415.1_prophage_5,3,GCF_017165415.1
GCF_017167945.1_prophage_1,7,GCF_017167945.1
GCF_017168615.1_prophage_6,20,GCF_017168615.1
GCF_017312795.1_prophage_1,10,GCF_017312795.1
GCF_017312855.1_prophage_1,10,GCF_017312855.1
GCF_017348835.2_prophage_2,1,GCF_017348835.2
GCF_017356205.1_prophage_3,8,GCF_017356205.1
GCF_017356345.1_prophage_3,7,GCF_017356345.1
GCF_017357545.1_prophage_5,2,GCF_017357545.1
GCF_017357545.1_prophage_6,1,GCF_017357545.1
GCF_017570685.1_prophage_1,20,GCF_017570685.1
GCF_017579865.1_prophage_2,3,GCF_017579865.1
GCF_017584325.1_prophage_3,16,GCF_017584325.1
GCF_017592945.1_prophage_1,1,GCF_017592945.1
GCF_017592995.1_prophage_1,9,GCF_017592995.1
GCF_017593015.1_prophage_1,11,GCF_017593015.1
GCF_017593225.1_prophage_3,16,GCF_017593225.1
GCF_017593605.1_prophage_2,13,GCF_017593605.1
GCF_017593625.1_prophage_2,5,GCF_017593625.1
GCF_017593645.1_prophage_7,5,GCF_017593645.1
GCF_017594145.1_prophage_5,7,GCF_017594145.1
GCF_017594165.1_prophage_3,12,GCF_017594165.1
GCF_017594525.1_prophage_2,14,GCF_017594525.1
GCF_017595145.1_prophage_1,13,GCF_017595145.1
GCF_017595385.1_prophage_1,14,GCF_017595385.1
GCF_017595505.1_prophage_6,8,GCF_017595505.1
GCF_017595525.1_prophage_3,5,GCF_017595525.1
GCF_017597545.1_prophage_1,12,GCF_017597545.1
GCF_017597545.1_prophage_6,20,GCF_017597545.1
GCF_017597625.1_prophage_6,17,GCF_017597625.1
GCF_017597975.1_prophage_3,5,GCF_017597975.1
GCF_017598005.1_prophage_1,20,GCF_017598005.1
GCF_017598065.1_prophage_4,5,GCF_017598065.1
GCF_017598205.1_prophage_3,16,GCF_017598205.1
GCF_017598355.1_prophage_1,20,GCF_017598355.1
GCF_017598385.1_prophage_2,20,GCF_017598385.1
GCF_017598545.1_prophage_5,20,GCF_017598545.1
GCF_017598645.1_prophage_3,4,GCF_017598645.1
GCF_017598725.1_prophage_2,15,GCF_017598725.1
GCF_017604265.1_prophage_2,4,GCF_017604265.1
GCF_017639025.1_prophage_2,2,GCF_017639025.1
GCF_017639105.1_prophage_4,1,GCF_017639105.1
GCF_017775115.1_prophage_6,7,GCF_017775115.1
GCF_017775135.1_prophage_6,7,GCF_017775135.1
GCF_017775225.1_prophage_7,12,GCF_017775225.1
GCF_017775675.1_prophage_4,16,GCF_017775675.1
GCF_017775705.1_prophage_3,20,GCF_017775705.1
GCF_017776035.1_prophage_4,7,GCF_017776035.1
GCF_017813585.1_prophage_3,14,GCF_017813585.1
GCF_017813635.1_prophage_2,1,GCF_017813635.1
GCF_017815815.1_prophage_5,1,GCF_017815815.1
GCF_017893795.1_prophage_3,4,GCF_017893795.1
GCF_017893885.1_prophage_4,7,GCF_017893885.1
GCF_017896185.1_prophage_5,7,GCF_017896185.1
GCF_017896205.1_prophage_5,7,GCF_017896205.1
GCF_017896545.1_prophage_5,17,GCF_017896545.1
GCF_017896725.1_prophage_2,8,GCF_017896725.1
GCF_017896725.1_prophage_3,14,GCF_017896725.1
GCF_017896805.1_prophage_3,1,GCF_017896805.1
GCF_017896885.1_prophage_1,8,GCF_017896885.1
GCF_017896885.1_prophage_5,5,GCF_017896885.1
GCF_017897065.1_prophage_4,1,GCF_017897065.1
GCF_017897525.1_prophage_2,14,GCF_017897525.1
GCF_017903455.1_prophage_1,13,GCF_017903455.1
GCF_017939405.1_prophage_6,12,GCF_017939405.1
GCF_017939485.1_prophage_1,13,GCF_017939485.1
GCF_018075305.1_prophage_9,17,GCF_018075305.1
GCF_018085225.1_prophage_5,18,GCF_018085225.1
GCF_018095025.1_prophage_3,15,GCF_018095025.1
GCF_018095065.1_prophage_6,10,GCF_018095065.1
GCF_018095225.1_prophage_3,1,GCF_018095225.1
GCF_018141245.1_prophage_4,8,GCF_018141245.1
GCF_018224245.1_prophage_2,10,GCF_018224245.1
GCF_018224745.1_prophage_2,3,GCF_018224745.1
GCF_018224745.1_prophage_3,13,GCF_018224745.1
GCF_018279125.1_prophage_2,8,GCF_018279125.1
GCF_018279225.1_prophage_12,20,GCF_018279225.1
GCF_018279225.1_prophage_3,3,GCF_018279225.1
GCF_018326165.1_prophage_1,20,GCF_018326165.1
GCF_018327605.1_prophage_5,10,GCF_018327605.1
GCF_018344545.1_prophage_1,20,GCF_018344545.1
GCF_018344735.1_prophage_5,1,GCF_018344735.1
GCF_018345005.1_prophage_3,20,GCF_018345005.1
GCF_018345025.1_prophage_1,14,GCF_018345025.1
GCF_018345025.1_prophage_3,1,GCF_018345025.1
GCF_018345085.1_prophage_1,14,GCF_018345085.1
GCF_018345085.1_prophage_2,14,GCF_018345085.1
GCF_018394415.1_prophage_1,15,GCF_018394415.1
GCF_018397095.1_prophage_4,7,GCF_018397095.1
GCF_018415995.1_prophage_3,5,GCF_018415995.1
GCF_018420635.1_prophage_1,2,GCF_018420635.1
GCF_018421215.1_prophage_3,9,GCF_018421215.1
GCF_018421985.1_prophage_3,20,GCF_018421985.1
GCF_018422955.1_prophage_1,17,GCF_018422955.1
GCF_018423055.1_prophage_4,1,GCF_018423055.1
GCF_018424775.1_prophage_3,10,GCF_018424775.1
GCF_018439005.1_prophage_2,10,GCF_018439005.1
GCF_018439505.1_prophage_4,14,GCF_018439505.1
GCF_018441485.1_prophage_4,20,GCF_018441485.1
GCF_018442445.1_prophage_1,11,GCF_018442445.1
GCF_018444005.1_prophage_4,18,GCF_018444005.1
GCF_018447635.1_prophage_6,20,GCF_018447635.1
GCF_018456315.1_prophage_5,12,GCF_018456315.1
GCF_018456605.1_prophage_4,20,GCF_018456605.1
GCF_018456625.1_prophage_8,9,GCF_018456625.1
GCF_018456635.1_prophage_5,13,GCF_018456635.1
GCF_018456685.1_prophage_5,12,GCF_018456685.1
GCF_018456865.1_prophage_9,20,GCF_018456865.1
GCF_018456955.1_prophage_3,3,GCF_018456955.1
GCF_018476565.1_prophage_2,15,GCF_018476565.1
GCF_018476595.1_prophage_6,16,GCF_018476595.1
GCF_018682915.1_prophage_2,14,GCF_018682915.1
GCF_018683005.1_prophage_1,9,GCF_018683005.1
GCF_018683045.1_prophage_5,4,GCF_018683045.1
GCF_018683095.1_prophage_3,1,GCF_018683095.1
GCF_018683295.1_prophage_7,17,GCF_018683295.1
GCF_018683415.1_prophage_1,15,GCF_018683415.1
GCF_018683415.1_prophage_4,20,GCF_018683415.1
GCF_018683495.1_prophage_4,3,GCF_018683495.1
GCF_018683535.1_prophage_2,13,GCF_018683535.1
GCF_018687775.1_prophage_3,1,GCF_018687775.1
GCF_018728225.1_prophage_3,17,GCF_018728225.1
GCF_018728225.1_prophage_5,18,GCF_018728225.1
GCF_018728485.1_prophage_4,13,GCF_018728485.1
GCF_018734065.1_prophage_2,1,GCF_018734065.1
GCF_018784805.1_prophage_2,14,GCF_018784805.1
GCF_018789835.1_prophage_2,20,GCF_018789835.1
GCF_018789975.1_prophage_2,13,GCF_018789975.1
GCF_018790095.1_prophage_5,1,GCF_018790095.1
GCF_018790515.1_prophage_1,12,GCF_018790515.1
GCF_018790515.1_prophage_2,16,GCF_018790515.1
GCF_018790645.1_prophage_5,17,GCF_018790645.1
GCF_018790715.1_prophage_2,13,GCF_018790715.1
GCF_018790745.1_prophage_5,17,GCF_018790745.1
GCF_018790895.1_prophage_1,1,GCF_018790895.1
GCF_018790915.1_prophage_3,5,GCF_018790915.1
GCF_018791675.1_prophage_1,15,GCF_018791675.1
GCF_018862155.1_prophage_6,1,GCF_018862155.1
GCF_018862595.1_prophage_2,2,GCF_018862595.1
GCF_018862815.1_prophage_6,14,GCF_018862815.1
GCF_018862985.1_prophage_7,11,GCF_018862985.1
GCF_018863015.1_prophage_1,10,GCF_018863015.1
GCF_018863035.1_prophage_4,11,GCF_018863035.1
GCF_018863045.1_prophage_4,5,GCF_018863045.1
GCF_018863135.1_prophage_1,10,GCF_018863135.1
GCF_018884265.1_prophage_1,12,GCF_018884265.1
GCF_018884265.1_prophage_6,3,GCF_018884265.1
GCF_018884285.1_prophage_1,14,GCF_018884285.1
GCF_018884465.1_prophage_7,2,GCF_018884465.1
GCF_018884545.1_prophage_3,2,GCF_018884545.1
GCF_018884565.1_prophage_2,14,GCF_018884565.1
GCF_018966965.1_prophage_1,15,GCF_018966965.1
GCF_018972225.1_prophage_5,1,GCF_018972225.1
GCF_018972245.1_prophage_4,19,GCF_018972245.1
GCF_018986775.1_prophage_2,1,GCF_018986775.1
GCF_018988385.1_prophage_4,2,GCF_018988385.1
GCF_019051295.1_prophage_2,17,GCF_019051295.1
GCF_019051635.1_prophage_1,13,GCF_019051635.1
GCF_019051775.1_prophage_5,1,GCF_019051775.1
GCF_019051795.1_prophage_5,14,GCF_019051795.1
GCF_019052095.1_prophage_4,3,GCF_019052095.1
GCF_019053115.1_prophage_2,8,GCF_019053115.1
GCF_019054135.1_prophage_5,20,GCF_019054135.1
GCF_019054175.1_prophage_1,2,GCF_019054175.1
GCF_019054575.1_prophage_1,14,GCF_019054575.1
GCF_019054575.1_prophage_3,1,GCF_019054575.1
GCF_019091005.1_prophage_2,2,GCF_019091005.1
GCF_019104245.1_prophage_2,11,GCF_019104245.1
GCF_019104255.1_prophage_1,2,GCF_019104255.1
GCF_019104285.1_prophage_4,14,GCF_019104285.1
GCF_019104345.1_prophage_2,2,GCF_019104345.1
GCF_019104385.1_prophage_3,5,GCF_019104385.1
GCF_019104395.1_prophage_3,11,GCF_019104395.1
GCF_019104655.1_prophage_2,14,GCF_019104655.1
GCF_019120735.1_prophage_3,5,GCF_019120735.1
GCF_019120795.1_prophage_1,11,GCF_019120795.1
GCF_019120815.1_prophage_1,20,GCF_019120815.1
GCF_019121055.1_prophage_1,4,GCF_019121055.1
GCF_019121055.1_prophage_2,1,GCF_019121055.1
GCF_019148725.1_prophage_5,20,GCF_019148725.1
GCF_019148725.1_prophage_6,20,GCF_019148725.1
GCF_019148765.1_prophage_5,1,GCF_019148765.1
GCF_019148845.1_prophage_3,2,GCF_019148845.1
GCF_019148845.1_prophage_7,8,GCF_019148845.1
GCF_019201615.1_prophage_3,8,GCF_019201615.1
GCF_019201665.1_prophage_3,4,GCF_019201665.1
GCF_019201765.1_prophage_4,7,GCF_019201765.1
GCF_019201865.1_prophage_3,2,GCF_019201865.1
GCF_019202285.1_prophage_7,15,GCF_019202285.1
GCF_019202555.1_prophage_1,13,GCF_019202555.1
GCF_019219395.1_prophage_2,7,GCF_019219395.1
GCF_019219605.1_prophage_2,14,GCF_019219605.1
GCF_019249965.1_prophage_4,1,GCF_019249965.1
GCF_019250015.1_prophage_3,20,GCF_019250015.1
GCF_019280025.1_prophage_2,3,GCF_019280025.1
GCF_019281595.1_prophage_1,12,GCF_019281595.1
GCF_019281595.1_prophage_2,10,GCF_019281595.1
GCF_019282105.1_prophage_1,10,GCF_019282105.1
GCF_019282155.1_prophage_4,18,GCF_019282155.1
GCF_019282295.1_prophage_4,1,GCF_019282295.1
GCF_019282315.1_prophage_1,10,GCF_019282315.1
GCF_019282355.1_prophage_1,19,GCF_019282355.1
GCF_019282405.1_prophage_5,18,GCF_019282405.1
GCF_019282515.1_prophage_1,1,GCF_019282515.1
GCF_019282695.1_prophage_4,11,GCF_019282695.1
GCF_019297265.1_prophage_7,20,GCF_019297265.1
GCF_019297415.1_prophage_3,12,GCF_019297415.1
GCF_019297505.1_prophage_4,12,GCF_019297505.1
GCF_019297555.1_prophage_5,1,GCF_019297555.1
GCF_019311925.1_prophage_4,12,GCF_019311925.1
GCF_019312345.1_prophage_8,1,GCF_019312345.1
GCF_019312485.1_prophage_1,9,GCF_019312485.1
GCF_019350995.1_prophage_1,10,GCF_019350995.1
GCF_019351035.1_prophage_3,20,GCF_019351035.1
GCF_019351255.1_prophage_2,17,GCF_019351255.1
GCF_019351275.1_prophage_3,20,GCF_019351275.1
GCF_019351335.1_prophage_2,3,GCF_019351335.1
GCF_019355495.1_prophage_9,11,GCF_019355495.1
GCF_019375055.2_prophage_3,5,GCF_019375055.2
GCF_019375055.2_prophage_8,20,GCF_019375055.2
GCF_019426265.1_prophage_4,1,GCF_019426265.1
GCF_019428645.1_prophage_3,10,GCF_019428645.1
GCF_019428665.1_prophage_4,17,GCF_019428665.1
GCF_019428725.1_prophage_6,20,GCF_019428725.1
GCF_019431315.1_prophage_5,15,GCF_019431315.1
GCF_019431335.1_prophage_11,1,GCF_019431335.1
GCF_019431475.1_prophage_7,16,GCF_019431475.1
GCF_019436585.1_prophage_4,16,GCF_019436585.1
GCF_019436625.1_prophage_4,17,GCF_019436625.1
GCF_019444045.1_prophage_1,20,GCF_019444045.1
GCF_019458565.1_prophage_3,14,GCF_019458565.1
GCF_019459845.1_prophage_5,17,GCF_019459845.1
GCF_019460065.1_prophage_3,14,GCF_019460065.1
GCF_019509185.1_prophage_3,18,GCF_019509185.1
GCF_019509195.1_prophage_1,17,GCF_019509195.1
GCF_019509195.1_prophage_6,13,GCF_019509195.1
GCF_019509565.1_prophage_1,14,GCF_019509565.1
GCF_019551855.1_prophage_4,4,GCF_019551855.1
GCF_019584115.1_prophage_3,20,GCF_019584115.1
GCF_019584345.1_prophage_3,2,GCF_019584345.1
GCF_019584445.1_prophage_2,2,GCF_019584445.1
GCF_019584445.1_prophage_3,1,GCF_019584445.1
GCF_019584865.1_prophage_1,17,GCF_019584865.1
GCF_019584865.1_prophage_6,20,GCF_019584865.1
GCF_019585005.1_prophage_1,14,GCF_019585005.1
GCF_019585285.1_prophage_6,1,GCF_019585285.1
GCF_019585305.1_prophage_1,13,GCF_019585305.1
GCF_019585485.1_prophage_3,3,GCF_019585485.1
GCF_019585745.1_prophage_2,15,GCF_019585745.1
GCF_019585825.1_prophage_3,12,GCF_019585825.1
GCF_019585905.1_prophage_3,1,GCF_019585905.1
GCF_019585925.1_prophage_2,1,GCF_019585925.1
GCF_019585935.1_prophage_7,11,GCF_019585935.1
GCF_019587165.1_prophage_1,10,GCF_019587165.1
GCF_019587225.1_prophage_2,17,GCF_019587225.1
GCF_019587335.1_prophage_3,19,GCF_019587335.1
GCF_019587525.1_prophage_5,14,GCF_019587525.1
GCF_019587895.1_prophage_2,14,GCF_019587895.1
GCF_019587985.1_prophage_5,5,GCF_019587985.1
GCF_019645995.1_prophage_2,7,GCF_019645995.1
GCF_019655835.1_prophage_1,8,GCF_019655835.1
GCF_019660015.1_prophage_1,13,GCF_019660015.1
GCF_019660785.1_prophage_3,7,GCF_019660785.1
GCF_019660835.1_prophage_3,20,GCF_019660835.1
GCF_019660925.1_prophage_3,7,GCF_019660925.1
GCF_019683895.1_prophage_2,10,GCF_019683895.1
GCF_019684015.1_prophage_5,19,GCF_019684015.1
GCF_019730465.1_prophage_5,8,GCF_019730465.1
GCF_019731455.1_prophage_3,8,GCF_019731455.1
GCF_019772125.1_prophage_5,13,GCF_019772125.1
GCF_019772145.1_prophage_2,2,GCF_019772145.1
GCF_019780835.1_prophage_3,7,GCF_019780835.1
GCF_019780925.1_prophage_4,17,GCF_019780925.1
GCF_019800285.1_prophage_7,20,GCF_019800285.1
GCF_019834445.1_prophage_6,1,GCF_019834445.1
GCF_019834455.1_prophage_1,1,GCF_019834455.1
GCF_019839425.1_prophage_3,12,GCF_019839425.1
GCF_019839945.1_prophage_2,15,GCF_019839945.1
GCF_019840005.1_prophage_5,14,GCF_019840005.1
GCF_019840065.1_prophage_6,4,GCF_019840065.1
GCF_019840545.1_prophage_1,2,GCF_019840545.1
GCF_019840625.1_prophage_2,4,GCF_019840625.1
GCF_019840825.1_prophage_3,3,GCF_019840825.1
GCF_019840915.1_prophage_1,2,GCF_019840915.1
GCF_019840915.1_prophage_2,17,GCF_019840915.1
GCF_019841065.1_prophage_1,1,GCF_019841065.1
GCF_019841365.1_prophage_5,5,GCF_019841365.1
GCF_019841475.1_prophage_8,14,GCF_019841475.1
GCF_019841545.1_prophage_2,17,GCF_019841545.1
GCF_019841565.1_prophage_4,2,GCF_019841565.1
GCF_019841585.1_prophage_1,13,GCF_019841585.1
GCF_019841705.1_prophage_2,10,GCF_019841705.1
GCF_019841865.1_prophage_3,5,GCF_019841865.1
GCF_019878055.1_prophage_5,15,GCF_019878055.1
GCF_019878145.1_prophage_1,3,GCF_019878145.1
GCF_019878155.1_prophage_9,18,GCF_019878155.1
GCF_019878665.1_prophage_2,1,GCF_019878665.1
GCF_019879225.1_prophage_7,1,GCF_019879225.1
GCF_019879285.1_prophage_3,13,GCF_019879285.1
GCF_019879405.1_prophage_4,16,GCF_019879405.1
GCF_019879535.1_prophage_4,14,GCF_019879535.1
GCF_019879625.1_prophage_3,11,GCF_019879625.1
GCF_019891035.1_prophage_3,1,GCF_019891035.1
GCF_019891295.1_prophage_2,12,GCF_019891295.1
GCF_019891305.1_prophage_2,20,GCF_019891305.1
GCF_019926445.1_prophage_1,3,GCF_019926445.1
GCF_019926495.1_prophage_1,12,GCF_019926495.1
GCF_019926495.1_prophage_3,17,GCF_019926495.1
GCF_019926525.1_prophage_6,17,GCF_019926525.1
GCF_019926805.1_prophage_3,17,GCF_019926805.1
GCF_019957205.1_prophage_8,14,GCF_019957205.1
GCF_019957355.1_prophage_6,12,GCF_019957355.1
GCF_019957505.1_prophage_2,8,GCF_019957505.1
GCF_019958035.1_prophage_3,17,GCF_019958035.1
GCF_019958115.1_prophage_1,20,GCF_019958115.1
GCF_019969545.1_prophage_9,12,GCF_019969545.1
GCF_019970955.1_prophage_2,1,GCF_019970955.1
GCF_019971035.1_prophage_1,20,GCF_019971035.1
GCF_019971115.1_prophage_2,20,GCF_019971115.1
GCF_019976835.1_prophage_6,20,GCF_019976835.1
GCF_020005445.1_prophage_4,14,GCF_020005445.1
GCF_020037245.1_prophage_3,3,GCF_020037245.1
GCF_020051435.1_prophage_6,2,GCF_020051435.1
GCF_020051595.1_prophage_6,3,GCF_020051595.1
GCF_020076285.1_prophage_2,5,GCF_020076285.1
GCF_020085025.1_prophage_3,11,GCF_020085025.1
GCF_020085195.1_prophage_10,2,GCF_020085195.1
GCF_020085235.1_prophage_1,13,GCF_020085235.1
GCF_020085235.1_prophage_2,6,GCF_020085235.1
GCF_020085555.1_prophage_2,14,GCF_020085555.1
GCF_020085735.1_prophage_1,1,GCF_020085735.1
GCF_020085895.1_prophage_4,11,GCF_020085895.1
GCF_020086055.1_prophage_5,11,GCF_020086055.1
GCF_020086165.1_prophage_2,11,GCF_020086165.1
GCF_020086315.1_prophage_4,11,GCF_020086315.1
GCF_020086365.1_prophage_1,13,GCF_020086365.1
GCF_020105335.1_prophage_2,1,GCF_020105335.1
GCF_020105395.1_prophage_9,20,GCF_020105395.1
GCF_020148165.1_prophage_6,7,GCF_020148165.1
GCF_020149665.1_prophage_4,1,GCF_020149665.1
GCF_020149705.1_prophage_1,13,GCF_020149705.1
GCF_020149705.1_prophage_4,16,GCF_020149705.1
GCF_020162395.1_prophage_5,2,GCF_020162395.1
GCF_020162435.1_prophage_2,12,GCF_020162435.1
GCF_020162435.1_prophage_5,7,GCF_020162435.1
GCF_020162445.1_prophage_1,20,GCF_020162445.1
GCF_020162445.1_prophage_5,4,GCF_020162445.1
GCF_020162475.1_prophage_1,10,GCF_020162475.1
GCF_020162615.1_prophage_6,13,GCF_020162615.1
GCF_020162695.1_prophage_5,7,GCF_020162695.1
GCF_020162765.1_prophage_2,14,GCF_020162765.1
GCF_020162795.1_prophage_2,8,GCF_020162795.1
GCF_020166635.1_prophage_6,12,GCF_020166635.1
GCF_020166655.1_prophage_2,14,GCF_020166655.1
GCF_020166665.1_prophage_2,3,GCF_020166665.1
GCF_020168335.1_prophage_1,20,GCF_020168335.1
GCF_020168375.1_prophage_1,10,GCF_020168375.1
GCF_020168695.1_prophage_5,8,GCF_020168695.1
GCF_020168775.1_prophage_2,14,GCF_020168775.1
GCF_020169365.1_prophage_1,2,GCF_020169365.1
GCF_020215925.1_prophage_3,5,GCF_020215925.1
GCF_020215945.1_prophage_6,17,GCF_020215945.1
GCF_020215945.1_prophage_9,20,GCF_020215945.1
GCF_020216205.1_prophage_3,15,GCF_020216205.1
GCF_020217445.1_prophage_7,13,GCF_020217445.1
GCF_020230345.1_prophage_1,7,GCF_020230345.1
GCF_020230435.1_prophage_1,5,GCF_020230435.1
GCF_020251685.1_prophage_5,10,GCF_020251685.1
GCF_020251725.1_prophage_5,20,GCF_020251725.1
GCF_020281995.1_prophage_1,14,GCF_020281995.1
GCF_020282065.1_prophage_3,7,GCF_020282065.1
GCF_020282125.1_prophage_4,4,GCF_020282125.1
GCF_020282125.1_prophage_5,9,GCF_020282125.1
GCF_020282185.1_prophage_4,13,GCF_020282185.1
GCF_020282305.1_prophage_1,12,GCF_020282305.1
GCF_020381605.1_prophage_3,14,GCF_020381605.1
GCF_020381685.1_prophage_3,8,GCF_020381685.1
GCF_020381985.1_prophage_3,2,GCF_020381985.1
GCF_020381995.1_prophage_5,14,GCF_020381995.1
GCF_020406085.1_prophage_2,10,GCF_020406085.1
GCF_020418405.1_prophage_1,7,GCF_020418405.1
GCF_020421655.1_prophage_2,12,GCF_020421655.1
GCF_020421745.1_prophage_7,4,GCF_020421745.1
GCF_020422265.1_prophage_1,5,GCF_020422265.1
GCF_020422525.1_prophage_5,8,GCF_020422525.1
GCF_020422745.1_prophage_2,5,GCF_020422745.1
GCF_020422745.1_prophage_6,18,GCF_020422745.1
GCF_020423185.1_prophage_4,3,GCF_020423185.1
GCF_020423205.1_prophage_14,1,GCF_020423205.1
GCF_020423225.1_prophage_15,9,GCF_020423225.1
GCF_020443995.1_prophage_13,2,GCF_020443995.1
GCF_020443995.1_prophage_14,2,GCF_020443995.1
GCF_020443995.1_prophage_5,3,GCF_020443995.1
GCF_020494055.1_prophage_2,14,GCF_020494055.1
GCF_020514375.1_prophage_5,10,GCF_020514375.1
GCF_020514385.1_prophage_7,3,GCF_020514385.1
GCF_020514555.1_prophage_2,20,GCF_020514555.1
GCF_020514905.1_prophage_3,1,GCF_020514905.1
GCF_020514905.1_prophage_7,2,GCF_020514905.1
GCF_020515295.1_prophage_6,8,GCF_020515295.1
GCF_020515315.1_prophage_4,7,GCF_020515315.1
GCF_020526745.1_prophage_5,7,GCF_020526745.1
GCF_020535205.1_prophage_4,1,GCF_020535205.1
GCF_020552865.1_prophage_5,20,GCF_020552865.1
GCF_020553665.1_prophage_3,13,GCF_020553665.1
GCF_020594115.1_prophage_6,3,GCF_020594115.1
GCF_020594415.1_prophage_5,5,GCF_020594415.1
GCF_020594495.1_prophage_4,5,GCF_020594495.1
GCF_020662165.1_prophage_7,1,GCF_020662165.1
GCF_020668375.1_prophage_2,1,GCF_020668375.1
GCF_020668485.1_prophage_2,14,GCF_020668485.1
GCF_020668575.1_prophage_3,14,GCF_020668575.1
GCF_020668575.1_prophage_4,1,GCF_020668575.1
GCF_020668755.1_prophage_2,12,GCF_020668755.1
GCF_020668895.1_prophage_7,9,GCF_020668895.1
GCF_020668915.1_prophage_2,1,GCF_020668915.1
GCF_020669055.1_prophage_2,1,GCF_020669055.1
GCF_020669085.1_prophage_3,17,GCF_020669085.1
GCF_020669155.1_prophage_5,12,GCF_020669155.1
GCF_020669215.1_prophage_4,2,GCF_020669215.1
GCF_020669315.1_prophage_4,20,GCF_020669315.1
GCF_020669315.1_prophage_5,20,GCF_020669315.1
GCF_020669455.1_prophage_7,12,GCF_020669455.1
GCF_020669475.1_prophage_2,15,GCF_020669475.1
GCF_020669475.1_prophage_7,20,GCF_020669475.1
GCF_020669685.1_prophage_1,9,GCF_020669685.1
GCF_020669725.1_prophage_1,9,GCF_020669725.1
GCF_020669795.1_prophage_2,4,GCF_020669795.1
GCF_020669945.1_prophage_1,17,GCF_020669945.1
GCF_020669985.1_prophage_5,3,GCF_020669985.1
GCF_020670065.1_prophage_6,1,GCF_020670065.1
GCF_020683045.1_prophage_2,18,GCF_020683045.1
GCF_020683085.1_prophage_1,1,GCF_020683085.1
GCF_020731985.1_prophage_3,5,GCF_020731985.1
GCF_020732035.1_prophage_4,20,GCF_020732035.1
GCF_020732055.1_prophage_2,10,GCF_020732055.1
GCF_020732545.1_prophage_2,19,GCF_020732545.1
GCF_020732585.1_prophage_4,10,GCF_020732585.1
GCF_020732795.1_prophage_2,1,GCF_020732795.1
GCF_020732795.1_prophage_3,13,GCF_020732795.1
GCF_020733625.1_prophage_1,13,GCF_020733625.1
GCF_020733885.1_prophage_4,14,GCF_020733885.1
GCF_020733955.1_prophage_5,4,GCF_020733955.1
GCF_020733955.1_prophage_6,10,GCF_020733955.1
GCF_020734045.1_prophage_2,8,GCF_020734045.1
GCF_020741155.1_prophage_3,1,GCF_020741155.1
GCF_020782285.1_prophage_5,17,GCF_020782285.1
GCF_020782405.1_prophage_3,20,GCF_020782405.1
GCF_020782685.1_prophage_2,14,GCF_020782685.1
GCF_020782695.1_prophage_3,17,GCF_020782695.1
GCF_020819635.1_prophage_2,14,GCF_020819635.1
GCF_020821775.1_prophage_2,20,GCF_020821775.1
GCF_020821925.1_prophage_2,2,GCF_020821925.1
GCF_020827555.1_prophage_3,13,GCF_020827555.1
GCF_020827895.1_prophage_4,1,GCF_020827895.1
GCF_020829045.1_prophage_2,1,GCF_020829045.1
GCF_020831395.1_prophage_2,1,GCF_020831395.1
GCF_020858205.1_prophage_10,1,GCF_020858205.1
GCF_020858625.1_prophage_3,14,GCF_020858625.1
GCF_020859015.1_prophage_5,18,GCF_020859015.1
GCF_020859075.1_prophage_4,11,GCF_020859075.1
GCF_020859325.1_prophage_5,18,GCF_020859325.1
GCF_020859375.1_prophage_1,1,GCF_020859375.1
GCF_020861305.1_prophage_3,2,GCF_020861305.1
GCF_020868245.1_prophage_7,17,GCF_020868245.1
GCF_020882935.1_prophage_7,15,GCF_020882935.1
GCF_020883255.1_prophage_4,3,GCF_020883255.1
GCF_020883355.1_prophage_2,20,GCF_020883355.1
GCF_020883395.1_prophage_1,20,GCF_020883395.1
GCF_020883515.1_prophage_5,17,GCF_020883515.1
GCF_020886495.2_prophage_6,17,GCF_020886495.2
GCF_020886575.2_prophage_2,2,GCF_020886575.2
GCF_020886575.2_prophage_8,17,GCF_020886575.2
GCF_020905655.1_prophage_2,2,GCF_020905655.1
GCF_020907615.1_prophage_7,20,GCF_020907615.1
GCF_020907645.1_prophage_2,2,GCF_020907645.1
GCF_020907645.1_prophage_7,20,GCF_020907645.1
GCF_020966395.1_prophage_4,17,GCF_020966395.1
GCF_020966535.1_prophage_5,2,GCF_020966535.1
GCF_021028405.1_prophage_1,15,GCF_021028405.1
GCF_021029505.1_prophage_4,11,GCF_021029505.1
GCF_021035545.1_prophage_1,13,GCF_021035545.1
GCF_021035625.1_prophage_5,1,GCF_021035625.1
GCF_021035665.1_prophage_1,3,GCF_021035665.1
GCF_021035695.1_prophage_1,1,GCF_021035695.1
GCF_021108535.1_prophage_3,16,GCF_021108535.1
GCF_021108575.1_prophage_1,20,GCF_021108575.1
GCF_021108595.1_prophage_1,3,GCF_021108595.1
GCF_021108595.1_prophage_2,12,GCF_021108595.1
GCF_021108815.1_prophage_1,20,GCF_021108815.1
GCF_021108825.1_prophage_1,16,GCF_021108825.1
GCF_021109335.1_prophage_3,17,GCF_021109335.1
